uid treatment rep update task count partner
Grid0_10 Grid0 10 1050 OR 3 Host
Grid0_10 Grid0 10 1050 OR 0 Parasite
Grid0_10 Grid0 10 1050 ANDN 0 Host
Grid0_10 Grid0 10 1050 ANDN 0 Parasite
Grid0_10 Grid0 10 1050 NOR 0 Host
Grid0_10 Grid0 10 1050 NOR 0 Parasite
Grid0_10 Grid0 10 1050 XOR 0 Host
Grid0_10 Grid0 10 1050 XOR 0 Parasite
Grid0_10 Grid0 10 1050 EQU 0 Host
Grid0_10 Grid0 10 1050 EQU 0 Parasite
Grid0_10 Grid0 10 1100 NOT 8348 Host
Grid0_10 Grid0 10 1100 NOT 4026 Parasite
Grid0_10 Grid0 10 1100 NAND 0 Host
Grid0_10 Grid0 10 1100 NAND 7 Parasite
Grid0_10 Grid0 10 1100 AND 0 Host
Grid0_10 Grid0 10 1100 AND 1 Parasite
Grid0_10 Grid0 10 1100 ORN 0 Host
Grid0_10 Grid0 10 1100 ORN 2 Parasite
Grid0_10 Grid0 10 1100 OR 1 Host
Grid0_10 Grid0 10 1100 OR 0 Parasite
Grid0_10 Grid0 10 1100 ANDN 0 Host
Grid0_10 Grid0 10 1100 ANDN 0 Parasite
Grid0_10 Grid0 10 1100 NOR 0 Host
Grid0_10 Grid0 10 1100 NOR 0 Parasite
Grid0_10 Grid0 10 1100 XOR 0 Host
Grid0_10 Grid0 10 1100 XOR 0 Parasite
Grid0_10 Grid0 10 1100 EQU 0 Host
Grid0_10 Grid0 10 1100 EQU 0 Parasite
Grid0_10 Grid0 10 1150 NOT 8337 Host
Grid0_10 Grid0 10 1150 NOT 4025 Parasite
Grid0_10 Grid0 10 1150 NAND 0 Host
Grid0_10 Grid0 10 1150 NAND 14 Parasite
Grid0_10 Grid0 10 1150 AND 3 Host
Grid0_10 Grid0 10 1150 AND 0 Parasite
Grid0_10 Grid0 10 1150 ORN 0 Host
Grid0_10 Grid0 10 1150 ORN 0 Parasite
Grid0_10 Grid0 10 1150 OR 2 Host
Grid0_10 Grid0 10 1150 OR 2 Parasite
Grid0_10 Grid0 10 1150 ANDN 1 Host
Grid0_10 Grid0 10 1150 ANDN 0 Parasite
Grid0_10 Grid0 10 1150 NOR 0 Host
Grid0_10 Grid0 10 1150 NOR 0 Parasite
Grid0_10 Grid0 10 1150 XOR 0 Host
Grid0_10 Grid0 10 1150 XOR 0 Parasite
Grid0_10 Grid0 10 1150 EQU 0 Host
Grid0_10 Grid0 10 1150 EQU 0 Parasite
Grid0_10 Grid0 10 1200 NOT 8333 Host
Grid0_10 Grid0 10 1200 NOT 3698 Parasite
Grid0_10 Grid0 10 1200 NAND 0 Host
Grid0_10 Grid0 10 1200 NAND 8 Parasite
Grid0_10 Grid0 10 1200 AND 1 Host
Grid0_10 Grid0 10 1200 AND 1 Parasite
Grid0_10 Grid0 10 1200 ORN 4 Host
Grid0_10 Grid0 10 1200 ORN 1 Parasite
Grid0_10 Grid0 10 1200 OR 1 Host
Grid0_10 Grid0 10 1200 OR 4 Parasite
Grid0_10 Grid0 10 1200 ANDN 1 Host
Grid0_10 Grid0 10 1200 ANDN 0 Parasite
Grid0_10 Grid0 10 1200 NOR 0 Host
Grid0_10 Grid0 10 1200 NOR 0 Parasite
Grid0_10 Grid0 10 1200 XOR 0 Host
Grid0_10 Grid0 10 1200 XOR 0 Parasite
Grid0_10 Grid0 10 1200 EQU 0 Host
Grid0_10 Grid0 10 1200 EQU 0 Parasite
Grid0_10 Grid0 10 1250 NOT 8343 Host
Grid0_10 Grid0 10 1250 NOT 3667 Parasite
Grid0_10 Grid0 10 1250 NAND 0 Host
Grid0_10 Grid0 10 1250 NAND 12 Parasite
Grid0_10 Grid0 10 1250 AND 1 Host
Grid0_10 Grid0 10 1250 AND 1 Parasite
Grid0_10 Grid0 10 1250 ORN 1 Host
Grid0_10 Grid0 10 1250 ORN 0 Parasite
Grid0_10 Grid0 10 1250 OR 1 Host
Grid0_10 Grid0 10 1250 OR 4 Parasite
Grid0_10 Grid0 10 1250 ANDN 0 Host
Grid0_10 Grid0 10 1250 ANDN 0 Parasite
Grid0_10 Grid0 10 1250 NOR 0 Host
Grid0_10 Grid0 10 1250 NOR 1 Parasite
Grid0_10 Grid0 10 1250 XOR 0 Host
Grid0_10 Grid0 10 1250 XOR 0 Parasite
Grid0_10 Grid0 10 1250 EQU 0 Host
Grid0_10 Grid0 10 1250 EQU 0 Parasite
Grid0_10 Grid0 10 1300 NOT 8336 Host
Grid0_10 Grid0 10 1300 NOT 3766 Parasite
Grid0_10 Grid0 10 1300 NAND 0 Host
Grid0_10 Grid0 10 1300 NAND 10 Parasite
Grid0_10 Grid0 10 1300 AND 2 Host
Grid0_10 Grid0 10 1300 AND 0 Parasite
Grid0_10 Grid0 10 1300 ORN 1 Host
Grid0_10 Grid0 10 1300 ORN 1 Parasite
Grid0_10 Grid0 10 1300 OR 2 Host
Grid0_10 Grid0 10 1300 OR 1 Parasite
Grid0_10 Grid0 10 1300 ANDN 2 Host
Grid0_10 Grid0 10 1300 ANDN 0 Parasite
Grid0_10 Grid0 10 1300 NOR 0 Host
Grid0_10 Grid0 10 1300 NOR 0 Parasite
Grid0_10 Grid0 10 1300 XOR 0 Host
Grid0_10 Grid0 10 1300 XOR 0 Parasite
Grid0_10 Grid0 10 1300 EQU 0 Host
Grid0_10 Grid0 10 1300 EQU 0 Parasite
Grid0_10 Grid0 10 1350 NOT 8346 Host
Grid0_10 Grid0 10 1350 NOT 3773 Parasite
Grid0_10 Grid0 10 1350 NAND 0 Host
Grid0_10 Grid0 10 1350 NAND 13 Parasite
Grid0_10 Grid0 10 1350 AND 0 Host
Grid0_10 Grid0 10 1350 AND 1 Parasite
Grid0_10 Grid0 10 1350 ORN 0 Host
Grid0_10 Grid0 10 1350 ORN 1 Parasite
Grid0_10 Grid0 10 1350 OR 1 Host
Grid0_10 Grid0 10 1350 OR 0 Parasite
Grid0_10 Grid0 10 1350 ANDN 0 Host
Grid0_10 Grid0 10 1350 ANDN 0 Parasite
Grid0_10 Grid0 10 1350 NOR 0 Host
Grid0_10 Grid0 10 1350 NOR 0 Parasite
Grid0_10 Grid0 10 1350 XOR 0 Host
Grid0_10 Grid0 10 1350 XOR 0 Parasite
Grid0_10 Grid0 10 1350 EQU 0 Host
Grid0_10 Grid0 10 1350 EQU 0 Parasite
Grid0_10 Grid0 10 1400 NOT 8336 Host
Grid0_10 Grid0 10 1400 NOT 3552 Parasite
Grid0_10 Grid0 10 1400 NAND 0 Host
Grid0_10 Grid0 10 1400 NAND 14 Parasite
Grid0_10 Grid0 10 1400 AND 4 Host
Grid0_10 Grid0 10 1400 AND 0 Parasite
Grid0_10 Grid0 10 1400 ORN 0 Host
Grid0_10 Grid0 10 1400 ORN 0 Parasite
Grid0_10 Grid0 10 1400 OR 1 Host
Grid0_10 Grid0 10 1400 OR 0 Parasite
Grid0_10 Grid0 10 1400 ANDN 1 Host
Grid0_10 Grid0 10 1400 ANDN 0 Parasite
Grid0_10 Grid0 10 1400 NOR 0 Host
Grid0_10 Grid0 10 1400 NOR 0 Parasite
Grid0_10 Grid0 10 1400 XOR 0 Host
Grid0_10 Grid0 10 1400 XOR 0 Parasite
Grid0_10 Grid0 10 1400 EQU 0 Host
Grid0_10 Grid0 10 1400 EQU 0 Parasite
Grid0_10 Grid0 10 1450 NOT 8345 Host
Grid0_10 Grid0 10 1450 NOT 3504 Parasite
Grid0_10 Grid0 10 1450 NAND 0 Host
Grid0_10 Grid0 10 1450 NAND 17 Parasite
Grid0_10 Grid0 10 1450 AND 0 Host
Grid0_10 Grid0 10 1450 AND 1 Parasite
Grid0_10 Grid0 10 1450 ORN 0 Host
